,time,r_x,r_y,r_z,v_x,v_y,v_z,a,M
0,0.0,6492920.0,0.0,0.0,-279.19597362000775,7995.1266161527665,7995.1266161527665,0.0,0.0
1,1.0,6492640.80402638,7995.1266161527665,3.9757668475599165e-10,-288.65100775944035,7995.126483598325,-0.00011179335679730189,0.00021601965591758584,19.020515376732877
2,2.0,6492352.153018621,15990.253099751091,-0.00011179295922061714,-298.10683781649936,7995.114702467833,-0.0002274194484632665,0.00022342530739418294,19.14281583389015
3,3.0,6492054.046180804,23985.367802218923,-0.00033921240768388365,-307.56344860731565,7995.091269588161,-0.00034705969277907373,0.00023118180261135553,19.267695144021065
4,4.0,6491746.482732197,31980.459071807083,-0.0006862721004629573,-317.02082494802363,7995.056181797778,-0.0004709040957003147,0.00023930574563412707,19.39504209244949
5,5.0,6491429.461907249,39975.51525360486,-0.001157176196163272,-326.4789516552626,7995.009435946203,-0.0005991516995459221,0.0002478146069673855,19.524745873784457
6,6.0,6491102.982955594,47970.524689551065,-0.0017563278957091941,-335.93781354670426,7994.951028893423,-0.0007320110565308915,0.0002567267725449926,19.656696217973934
7,7.0,6490767.045142047,55965.47571844449,-0.0024883389522400855,-345.39739544160733,7994.880957509272,-0.0008697007289769857,0.00026606159529775505,19.7907835035957
8,8.0,6490421.647746606,63960.356675953764,-0.003358039681217071,-354.8576821614004,7994.799218672771,-0.001012449817602046,0.00027583944942867163,19.92689885888143
9,9.0,6490066.790064445,71955.15589462653,-0.004370489498819117,-364.318658530295,7994.705809271436,-0.0011604985193588537,0.00028608178753137907,20.064934251051916
10,10.0,6489702.471405914,79949.86170389797,-0.005530988018177971,-373.78030937592996,7994.600726200544,-0.001314098716366615,0.00029681120069122694,20.2047825645519
11,11.0,6489328.691096538,87944.46243009852,-0.006845086734544586,-383.24261953004867,7994.48396636235,-0.0014735145975534093,0.0003080514817144704,20.346337668812648
12,12.0,6488945.448477007,95938.94639646087,-0.008318601332097995,-392.7055738292112,7994.35552666526,-0.0016390233147061555,0.00031982769163676675,20.489494476194572
13,13.0,6488552.742903179,103933.30192312613,-0.00995762464680415,-402.1691571155424,7994.215404022966,-0.0018109156747051233,0.0003321662296665428,20.63414899076195
14,14.0,6488150.573746063,111927.5173271491,-0.011768540321509273,-411.63335423751863,7994.063595353518,-0.001989496869803213,0.00034509490672404334,20.78019834854878
15,15.0,6487738.9403918255,119921.58092250262,-0.013758037191312486,-421.0981500507938,7993.90009757835,-0.0021750872478958705,0.000358643022741625,20.92754084997088
16,16.0,6487317.842241774,127915.48102008097,-0.015933124439208357,-430.56352941906806,7993.724907621246,-0.0023680231248157926,0.0003728414478959499,21.076075985035967
17,17.0,6486887.2787123555,135909.20592770222,-0.01830114756402415,-440.0294772149998,7993.538022407253,-0.002568657640776511,0.00038772270794596835,21.225704451978377
18,18.0,6486447.24923514,143902.74395010946,-0.02086980520480066,-449.49597832116433,7993.339438861533,-0.0027773616631813144,0.0004033210738551959,21.376328169935935
19,19.0,6485997.753256819,151896.083388971,-0.023647166867981975,-458.96301763106,7993.129153908141,-0.002994524738107969,0.0004196726558800737,21.527850286263607
20,20.0,6485538.790239188,159889.21254287913,-0.026641691606089944,-468.4305800501656,7992.907164468743,-0.003220556092875109,0.0004368155023088077,21.680175179051904
21,21.0,6485070.359659138,167882.11970734788,-0.029862247698965054,-477.89865049705037,7992.673467461259,-0.0034558856921930213,0.00045478970303797293,21.833208455397926
22,22.0,6484592.461008641,175874.79317480914,-0.03331813339115808,-487.367213904539,7992.428059798436,-0.003700965350498544,0.0004736374981743753,21.986856945937838
23,23.0,6484105.093794736,183867.22123460757,-0.037019098741656625,-496.83625522093485,7992.170938386338,-0.003956269903172178,0.0004934033918523838,22.1410286961381
24,24.0,6483608.257539515,191859.39217299392,-0.0409753686448288,-506.30575941130337,7991.902100122752,-0.0042222984394325366,0.0005141342714543507,22.295632954793604
25,25.0,6483101.951780104,199851.29427311668,-0.04519766708426134,-515.7757114588187,7991.621541895513,-0.004499575599800855,0.0005358795324227917,22.45058016017064
26,26.0,6482586.176068645,207842.9158150122,-0.04969724268406219,-525.2460963661763,7991.329260580733,-0.004788652941123539,0.000558691208848541,22.605781924186548
27,27.0,6482060.929972279,215834.24507559295,-0.05448589562518573,-534.7168991570734,7991.025253040941,-0.005090110372234005,0.0005826241100152613,22.761151014990773
28,28.0,6481526.213073121,223825.2703286339,-0.05957600599741973,-544.1881048777623,7990.7095161231155,-0.005404557663427002,0.0006077359630780702,22.916601338300463
29,29.0,6480982.024968243,231815.979844757,-0.06498056366084673,-553.6596985986772,7990.38204665662,-0.0057326360330038914,0.0006340875620412682,23.07204791777757
30,30.0,6480428.365269644,239806.36189141363,-0.07071319969385062,-563.1316654161392,7990.042841451031,-0.006075019814231016,0.000661742923196969,23.22740687474511
31,31.0,6479865.233604228,247796.40473286467,-0.07678821950808164,-572.6039904541412,7989.691897293844,-0.006432418206129071,0.0006907694471712568,23.382595407486075
32,32.0,6479292.629613774,255786.0966301585,-0.0832206377142107,-582.076658866217,7989.329210948072,-0.0068055771115803024,0.0007212380877111924,23.537531770344778
33,33.0,6478710.5529549075,263775.42584110657,-0.09002621482579101,-591.5496558373974,7988.954779149713,-0.007195281066302622,0.0007532235273332001,23.69213525284159
34,34.0,6478119.0032990705,271764.3806202563,-0.09722149589209364,-601.0229665862548,7988.568598605096,-0.007602355262288346,0.0007868043599270228,23.846326158948628
35,35.0,6477517.9803324845,279752.9492188614,-0.10482385115438199,-610.496576367044,7988.170665988083,-0.008027667669347456,0.0008220632803969367,24.0000257866979
36,36.0,6476907.4837561175,287741.11988484947,-0.11285151882372944,-619.9704704719355,7987.760977937146,-0.00847213125841896,0.0008590872813863336,24.1531564082204
37,37.0,6476287.513285645,295728.8808627866,-0.1213236500821484,-629.4446342333512,7987.339531052289,-0.008936706330325856,0.000897967857108848,24.305641250323312
38,38.0,6475658.068651412,303716.2203938389,-0.13026035641247427,-638.9190530264002,7986.906321891829,-0.009422402953643567,0.0009388012142755816,24.457404475685927
