,time,r_x,r_y,r_z,v_x,v_y,v_z,a,M
0,0.0,6492920.0,0.0,0.0,-1081.685116918704,10933.623658597206,10933.623658597206,0.0,0.0
1,1.0,6491838.314883081,10933.623658597206,3.9757668475599165e-10,-1091.1398949611228,10933.620043748724,0.00010682697258894824,0.0036187568848848723,26.12230030552051
2,2.0,6490747.17498812,21867.243702345928,0.000106827370165633,-1100.5977618585084,10933.599976592366,0.00022912384660211268,0.00414246231170589,26.803370507203173
3,3.0,6489646.577226262,32800.8436789383,0.0003359512167677457,-1110.0586614919612,10933.563339361133,0.00036991215495664183,0.004768428922303548,27.528164752089026
4,4.0,6488536.51856477,43734.40701829943,0.0007058633717243875,-1119.522536629026,10933.509994807007,0.0005327964359200366,0.005516378674119235,28.286849249370576
5,5.0,6487416.996028141,54667.91701310644,0.001238659807644424,-1128.98932869334,10933.43978195876,0.0007220899353301707,0.006410284708004617,29.07041030361508
6,6.0,6486288.0066994475,65601.35679506519,0.0019607497429745945,-1138.458977479642,10933.352510957193,0.0009429676577587845,0.007479295955603838,29.870629576462274
7,7.0,6485149.547721968,76534.70930602239,0.002903717400733379,-1147.9314208020837,10933.24795678659,0.0012016521428836336,0.008758843417845368,30.68003110264672
8,8.0,6484001.616301166,87467.95726280898,0.004105369543617013,-1157.4065940614241,10933.125851690718,0.0015056382472946011,0.0102919586450403,31.491814384939534
9,9.0,6482844.209707105,98401.08311449969,0.005611007790911613,-1166.8844297140838,10932.985876030049,0.0018639641555705617,0.012130836280873285,32.29978372331185
10,10.0,6481677.325277391,109334.06899052975,0.007474971946482175,-1176.3648566232214,10932.827647305436,0.0022875367772551944,0.014338672157690835,33.09828038717926
11,11.0,6480500.960420768,120266.89663783519,0.00976250872373737,-1185.8477992690894,10932.650707045152,0.002789520530922374,0.016991805439273592,33.88212143097387
12,12.0,6479315.112621498,131199.54734488035,0.012552029254659744,-1195.3331767931359,10932.454505230618,0.0033857991606535344,0.02018218652513571,34.646546826612884
13,13.0,6478119.779444705,142132.00185011097,0.015937828415313278,-1204.8209018498546,10932.238381969315,0.0040955192552597445,0.024020137645087702,35.38714395851536
14,14.0,6476914.9585428545,153064.24023208028,0.02003334767057302,-1214.310879343704,10932.001548390195,0.004941657057211425,0.028635135934395234,36.098428227803005
15,15.0,6475700.64766351,163996.24178047047,0.024975004727784446,-1223.8030050704754,10931.743067259451,0.005951593832175629,0.0341760983271822,36.77351880495658
16,16.0,6474476.84465844,174927.98484772994,0.030926598559960074,-1233.2971640973608,10931.461829901291,0.007157800889768831,0.040815087580686395,37.406157574326016
17,17.0,6473243.547494343,185859.44667763123,0.038084399449728905,-1242.793228975331,10931.15653172866,0.008598566072391541,0.04874871073324167,37.99076869012864
18,18.0,6472000.754265367,196790.6032093599,0.046682965522120444,-1252.2910578361339,10930.825647581994,0.010318726242169023,0.05819831812571847,38.52236104499817
19,19.0,6470748.463207531,207721.42885694187,0.057001691764289465,-1261.790492448982,10930.467408381823,0.012370361146400555,0.06940869430203178,38.996436390922426
20,20.0,6469486.672715082,218651.89626532368,0.06937205291069001,-1271.2913563522354,10930.079781206789,0.014813386064048877,0.08264463362177571,39.408901387943104
21,21.0,6468215.38135873,229581.97604653047,0.08418543897473889,-1280.7934532250842,10929.660455615283,0.017715959648940318,0.09818469189734486,39.75598283942965
22,22.0,6466934.587905505,240511.63650214576,0.10190139862367921,-1290.2965657227896,10929.206839810051,0.021154600179663655,0.11631133053871012,40.03414635198973
23,23.0,6465644.291339782,251440.8433419558,0.12305599880334286,-1299.800455064215,10928.71607104843,0.025213879548574666,0.13729664707983408,40.24001933229901
